,timestep,reward
0,1512.0,-1.1496723249228569
1,3024.0,-0.8837395479140324
2,4536.0,-1.5914980590593697
3,3048.0,-0.8191210989790665
4,4560.0,-2.110697565552716
5,6072.0,-0.9169957174597549
6,4584.0,-0.8774562893962431
7,6096.0,-2.322944488490408
8,7608.0,0.0788113632117903
9,6120.0,-1.0114276474460635
10,7632.0,0.4156282474871789
11,9144.0,-0.5477780499431472
12,7656.0,-0.5466823937438219
13,9168.0,-1.1063365535371734
14,10680.0,-1.6474769115539374
15,9192.0,-1.4484822859818507
16,10704.0,-0.6985827901322689
17,12216.0,-1.2510233372846673
18,10728.0,-2.041961044136415
19,12240.0,-0.14921001228385053
20,13752.0,0.3100460527132229
21,12264.0,-1.4151991961107082
22,13776.0,-1.5007775436295931
23,15288.0,-1.830427018233147
24,13800.0,-2.608945584541842
25,15312.0,-2.382436147658353
26,16824.0,-1.703962621412277
27,15336.0,-0.6438052707568689
28,16848.0,-3.678667919913429
29,18360.0,-2.3972961445166425
30,16872.0,-1.2155267907971192
31,18384.0,-2.8709709877790006
32,19896.0,-2.2057908845687715
33,18408.0,-2.0935138254677788
34,19920.0,-1.9756025401531485
35,21432.0,-4.271409222711212
36,19944.0,-2.299540484202208
37,21456.0,-1.6943911245311392
38,22968.0,-2.9661441759958525
39,21480.0,-1.3368929849510112
40,22992.0,-3.5574070478802176
41,24504.0,-2.1428276801145762
42,23016.0,-3.145296040031883
43,24528.0,-2.0931645100370164
44,26040.0,-2.8060301208310476
45,24552.0,-4.512187165348491
46,26064.0,-6.457014738863058
47,27576.0,-4.131022897178651
48,26088.0,-6.960687570528904
49,27600.0,-7.1603880165306935
50,29112.0,-9.23892785998471
51,27624.0,-19.834435095397332
52,29136.0,-19.768046039425087
53,30648.0,-21.282585460313054
54,29160.0,-126.72523724753621
55,30672.0,-127.6210608506697
56,32184.0,-127.58567080738513
57,30696.0,-221.97715663385347
58,32208.0,-276.1906146471512
59,33720.0,-226.50205457901816
60,32232.0,-188.76858367212273
61,33744.0,-217.33646166075036
62,35256.0,-187.32735548123026
63,33768.0,-168.2953273800675
64,35280.0,-202.84013910045903
65,36792.0,-145.7217989576932
66,35304.0,-151.94476705687262
67,36816.0,-128.04248168750465
68,38328.0,-67.14202101099463
69,36840.0,-112.46958851291922
70,38352.0,-132.27697354228076
71,39864.0,-144.26757586097767
72,38376.0,-85.98268520536237
73,39888.0,-136.65571834110267
74,41400.0,-90.43661871627637
75,39912.0,-150.70055364006785
76,41424.0,-189.07285654834874
77,42936.0,-181.57317563858112
78,41448.0,-213.08430568439238
79,42960.0,-148.76943185527617
80,44472.0,-191.140076727839
81,42984.0,-108.048355111019
82,44496.0,-103.88142316412089
83,46008.0,-128.86026689573345
84,44520.0,-109.75930265722253
85,46032.0,-105.5650470445488
86,47544.0,-105.01138887828256
87,46056.0,-82.45346505034053
88,47568.0,-78.07441112255897
89,49080.0,-78.06760863257502
90,47592.0,-22.49917413152201
91,49104.0,-21.686858216915404
