,timestep,reward
0,1512.0,-4.4989321958632935
1,3024.0,-2.652546291047263
2,4536.0,-2.5444114230183636
3,3048.0,-2.5832948314457767
4,4560.0,-3.5837040893483953
5,6072.0,-3.1977869704731114
6,4584.0,-3.146007366399769
7,6096.0,-3.5118895957428062
8,7608.0,-2.0043485592402743
9,6120.0,-1.9283297856383141
10,7632.0,-3.7381319702533076
11,9144.0,-2.7674883186500385
12,7656.0,-2.740167111627315
13,9168.0,-2.528723522256126
14,10680.0,-2.787708159795135
15,9192.0,-2.6582688762007605
16,10704.0,-2.376515144835473
17,12216.0,-2.3189590101681254
18,10728.0,-3.2752483262559022
19,12240.0,-2.1929272153930364
20,13752.0,-2.15006090823091
21,12264.0,-2.9916519470701006
22,13776.0,-1.5754001894083063
23,15288.0,-2.638835075029475
24,13800.0,-2.9533460529125626
25,15312.0,-0.8733654935176272
26,16824.0,-1.851718043223478
27,15336.0,-2.2969509764780893
28,16848.0,-2.9439708308029426
29,18360.0,-2.8901723005796343
30,16872.0,-2.046620854210154
31,18384.0,-2.3837338991809003
32,19896.0,-2.992808940597218
33,18408.0,-1.379454111371312
34,19920.0,-2.400200837765063
35,21432.0,-3.521692561033965
36,19944.0,-2.485797136972477
37,21456.0,-4.272425268712444
38,22968.0,-1.593915736913899
39,21480.0,-1.1327701190188595
40,22992.0,-3.1440349089917636
41,24504.0,-1.837755534599887
42,23016.0,-1.3104172693873595
43,24528.0,-1.1914305386631416
44,26040.0,-2.128391651004284
45,24552.0,-1.0808154702827861
46,26064.0,-2.432673401197262
47,27576.0,-2.592882898626552
48,26088.0,-1.9992514976047842
49,27600.0,-1.9938858971107476
50,29112.0,-2.216653165707926
51,27624.0,-2.5976758087105605
52,29136.0,-3.7236350091026957
53,30648.0,-1.837027602515205
54,29160.0,-2.4074971107250343
55,30672.0,-2.520027884062124
56,32184.0,-2.8292343646405613
57,30696.0,-2.852853890276876
58,32208.0,-2.297191865362143
59,33720.0,-1.674261357540301
60,32232.0,-2.1452035905263687
61,33744.0,-1.2456459596323926
62,35256.0,-2.6077903427880087
63,33768.0,-1.8783908376587135
64,35280.0,-3.0756063261957576
65,36792.0,-2.7640984812460525
66,35304.0,-1.4678259309953001
67,36816.0,-2.8776566266332555
68,38328.0,-1.8162483557609475
69,36840.0,-1.1402713242912836
70,38352.0,-2.5831920515100664
71,39864.0,-1.9647586030096016
72,38376.0,-3.1279445802871813
73,39888.0,-2.499304484723209
74,41400.0,-1.521030981885342
75,39912.0,-1.543737456138531
76,41424.0,-3.291182723573446
77,42936.0,-2.1320828706862
78,41448.0,-1.7822623480704471
79,42960.0,-2.396748553063321
80,44472.0,-2.7209929953173955
81,42984.0,-2.560982597879891
82,44496.0,-2.972450773279789
83,46008.0,-3.4770472200611433
84,44520.0,-1.8651420558501537
85,46032.0,-2.470223096136711
86,47544.0,-2.4453033062175233
87,46056.0,-2.1948748507746276
88,47568.0,-1.8012814071520886
89,49080.0,-2.994477203814983
90,47592.0,-0.9638005954717692
91,49104.0,-2.157186798861768
92,50616.0,-3.232149710383304
93,49128.0,-1.6953270205869315
94,50640.0,-2.2087384973628703
95,52152.0,-1.4519463447792174
96,50664.0,-2.4826993246322813
97,52176.0,0.21693888032565334
98,53688.0,-1.3752214440307948
99,52200.0,-1.5638611089001597
100,53712.0,-2.138707778488432
101,55224.0,-1.4144670130408923
102,53736.0,-1.519257829451884
103,55248.0,-2.085947827990064
104,56760.0,-1.0367918880237124
105,55272.0,-2.0467024027136542
106,56784.0,-1.726698173709519
107,58296.0,-1.2342926686520814
108,56808.0,-1.008099532927042
109,58320.0,-1.1791757120041562
110,59832.0,-3.0740716242729964
111,58344.0,-1.3702078137838907
112,59856.0,-0.9289684698908084
113,61368.0,-1.2977973870252408
114,59880.0,-1.5305373537576459
115,61392.0,-2.005552349312593
116,62904.0,-1.5998039649153193
117,61416.0,-0.7816625669270003
118,62928.0,-1.9041115618835531
119,64440.0,-0.9826093440903946
120,62952.0,-1.8035628243027761
121,64464.0,-3.1803980642006326
122,65976.0,-1.286197168379794
123,64488.0,-1.0002317490037484
124,66000.0,-0.23038887936824737
125,67512.0,-2.1559302038465344
126,66024.0,-0.7241590783872345
127,67536.0,-1.038200790041703
128,69048.0,-1.5913927184487422
129,67560.0,-1.7897155527398527
130,69072.0,-1.4993295825880122
131,70584.0,-0.5935007644336601
132,69096.0,-1.282268989600952
133,70608.0,-2.198437117987501
134,72120.0,-1.6802031714617576
135,70632.0,-0.8533776783251145
136,72144.0,-0.7438151573339704
137,73656.0,-1.252317426419333
138,72168.0,-1.5804674073626028
139,73680.0,-1.5355386642850528
140,75192.0,0.1291722315939543
141,73704.0,-1.6786140890339296
142,75216.0,-2.171424564742148
143,76728.0,-2.3751447557962986
144,75240.0,-2.6445653503857236
145,76752.0,-1.1253616562615252
146,78264.0,-0.5770543980829073
147,76776.0,-0.32732194827097816
148,78288.0,-0.945127592253075
149,79800.0,-1.1401698002711225
150,78312.0,-1.4406492751502626
151,79824.0,-2.034295406550667
152,81336.0,-1.8788555871420958
153,79848.0,-1.0630129028170043
154,81360.0,-1.4570298018638148
155,82872.0,-1.2093281351553262
156,81384.0,-0.11425790892598979
157,82896.0,-1.9792220209923446
158,84408.0,-1.067294084133642
159,82920.0,-2.365278052860749
160,84432.0,-1.4477189380058393
161,85944.0,-2.095151083153686
162,84456.0,-1.482979757157063
163,85968.0,-2.7388883491475573
164,87480.0,-0.7996784509600355
165,85992.0,-1.1762777771140478
166,87504.0,-1.8447104393427116
167,89016.0,-0.5913857173307469
168,87528.0,-2.2344011569141102
169,89040.0,-1.4481200306103317
170,90552.0,-1.2439576527787644
171,89064.0,-1.2310616952249638
172,90576.0,-0.4166113656935333
173,92088.0,-1.8587615868123795
174,90600.0,-0.4106239958193308
175,92112.0,-0.8376874918155395
176,93624.0,-1.4343423256543033
177,92136.0,-0.10107367963089219
178,93648.0,-0.7616071357242536
179,95160.0,-1.0707544455762794
180,93672.0,-0.5366339584187523
181,95184.0,-0.8131850500381258
182,96696.0,-2.08013756941605
183,95208.0,-2.062644460609616
184,96720.0,-0.8428717216738747
185,98232.0,-1.4253562136782811
186,96744.0,-0.9477231767536751
187,98256.0,-0.9158004623920298
188,99768.0,-1.7673408249060525
189,98280.0,-1.2619225324051604
190,99792.0,-2.7162621158674476
191,101304.0,-0.07706482661472079
192,99816.0,-0.8396707629404377
193,101328.0,-0.8279857660796698
194,102840.0,-2.457823557366156
195,101352.0,-0.7170412442970265
196,102864.0,-1.569945482824679
197,104376.0,-0.44261087460402987
198,102888.0,-0.3284310569099068
199,104400.0,-2.0122330644414905
200,105912.0,-0.1974908727982567
201,104424.0,-1.1637495604811416
202,105936.0,-0.8320412413794802
203,107448.0,-1.5760673358852166
204,105960.0,-0.8021909701202645
205,107472.0,-0.6554720756580871
206,108984.0,-0.385257218192919
207,107496.0,-1.8507424445690766
208,109008.0,-0.44707728112830813
209,110520.0,-1.3589641767553875
210,109032.0,-0.9492933562548932
211,110544.0,-2.7530488133828883
212,112056.0,-2.202901213644581
213,110568.0,-1.007698074701271
214,112080.0,-1.530097441170694
215,113592.0,-1.8447630886948863
216,112104.0,-0.35757990901552233
217,113616.0,-1.322197748052458
218,115128.0,-1.0963008625374913
219,113640.0,-1.6778217017301091
220,115152.0,-0.25160253864842147
221,116664.0,-1.500836349074502
222,115176.0,-0.8557788142296736
223,116688.0,-0.08288932859193227
224,118200.0,-0.2125984901182008
225,116712.0,-0.6096871033894359
226,118224.0,-1.7189437069892837
227,119736.0,-1.6561450552358172
228,118248.0,-1.3002037853618993
229,119760.0,-0.914490731934208
230,121272.0,-0.32475329018657645
231,119784.0,-0.6982967768808377
232,121296.0,-1.3715927631474902
233,122808.0,-0.3279558407961951
234,121320.0,-3.5627378288259
235,122832.0,-1.3900845652670588
236,124344.0,-0.8662779803188179
237,122856.0,-1.1943083267443122
238,124368.0,-1.990835378967581
239,125880.0,-1.8562453473336349
240,124392.0,0.3978223613441835
241,125904.0,-1.4627122140465336
242,127416.0,-1.6779986445104496
243,125928.0,-1.7119813638260841
244,127440.0,-1.4541360105184304
245,128952.0,-0.32597334457155264
246,127464.0,-1.014463409436364
247,128976.0,-2.0904488089183086
248,130488.0,-1.5003020047548974
249,129000.0,-1.1678340477977636
250,130512.0,-1.9870653919278776
251,132024.0,-0.6798673356829179
252,130536.0,-0.4873477167086014
253,132048.0,-0.7203923653354942
254,133560.0,-0.48398260380620245
255,132072.0,-0.32573881662474674
256,133584.0,-0.8313931344507312
257,135096.0,-1.5011330908571228
258,133608.0,-0.8250845954662612
259,135120.0,-1.6483444707224486
260,136632.0,-0.4938999638972968
261,135144.0,-0.1449157709572183
262,136656.0,-0.8714392394902332
263,138168.0,-0.251431338932337
264,136680.0,-1.0371800834327667
265,138192.0,-1.8034406265227212
266,139704.0,-0.4254032735783295
267,138216.0,-0.456159768199219
268,139728.0,-1.777356625467688
269,141240.0,-2.879794324026691
270,139752.0,-0.8857216612581931
271,141264.0,-0.2489977584647391
272,142776.0,0.10502325698264205
273,141288.0,-0.8673507299419153
274,142800.0,-0.27359647250982944
275,144312.0,-2.8793581148638365
276,142824.0,-2.074982173098393
277,144336.0,-0.5841936254420755
278,145848.0,-0.7390878041883198
279,144360.0,-1.1878928572434055
280,145872.0,-1.04144366370549
281,147384.0,-1.58017628001477
282,145896.0,0.11598235428638824
283,147408.0,-0.8456588693645498
284,148920.0,-1.4601763149217517
285,147432.0,-1.610562457575344
286,148944.0,-1.8127687263934336
287,150456.0,-2.17503955875343
288,148968.0,-2.4695086738126375
289,150480.0,-0.8213338342668945
290,151992.0,-1.6011879733815535
291,150504.0,-1.1360449880296706
292,152016.0,-0.23238256074164101
293,153528.0,-0.7029309805644305
294,152040.0,-1.1358154475083666
295,153552.0,-1.7017113295117272
296,155064.0,-0.4666464001458754
