,timestep,reward
0,2024.0,-2.0093437687428635
1,7144.0,-1.1084171249344146
2,12264.0,-1.9459901335818341
3,17384.0,-1.79601935792843
4,22504.0,-1.3293256339100332
5,27624.0,-1.5708814447524169
6,32744.0,-2.136515528688419
7,37864.0,-1.358097121144435
8,42984.0,-1.5615242229171318
9,48104.0,-1.106707422534482
10,53224.0,-0.6060477344925141
11,58344.0,-2.73617117792368
12,63464.0,-1.416983468305355
13,68584.0,-0.31355037225543175
14,73704.0,-2.7493701926153475
15,78824.0,-0.7751842629506954
16,83944.0,-3.0264470858253385
17,89064.0,-473.3928880051631
18,94184.0,-1.990664556190757
19,99304.0,-1.674041794401591
20,104424.0,-1.2082235565406763
21,109544.0,-1.740179603930456
22,114664.0,-0.9631589891366706
23,119784.0,-2.5965513951487207
24,124904.0,-1.9180391584896834
25,130024.0,-3.025239381234674
26,135144.0,-1.9588937724743807
27,140264.0,-1.2268802638678882
28,145384.0,-2.4991524033765633
29,150504.0,-1.1088927384811418
30,155624.0,-2.219943847753089
31,160744.0,-1.9537810141867191
32,165864.0,-2.344449634014286
33,170984.0,-1.9904501022495515
34,176104.0,-3.07806078687678
35,181224.0,-0.9060487276474817
36,186344.0,-2.5352315199254343
37,191464.0,-2.6612117616783686
38,196584.0,-5.82854124888709
39,201704.0,-2.41265091566294
40,206824.0,-9.645546777717927
41,211944.0,-8.01198928458507
42,217064.0,-6.107522318407668
43,222184.0,-9.338884031410819
44,227304.0,-2.0257607149306267
45,232424.0,-2.305267368672524
46,237544.0,-1.1662387297252101
47,242664.0,-1.4881690233145821
48,247784.0,-2.3585314817588134
49,252904.0,-1.7560651157641747
50,258024.0,-2.4985813190364268
51,263144.0,-0.8606994976500154
52,268264.0,-0.9451684884608574
53,273384.0,-0.8869646321082814
54,278504.0,-1.0894282145440073
55,283624.0,-1.0511401580184017
56,288744.0,-1.6856589333363834
57,293864.0,-2.465092489026194
58,298984.0,-0.4969019276567997
59,304104.0,-1.0380585880758328
60,309224.0,-354.38051052887306
61,314344.0,-363.7299231186998
62,319464.0,-3.6126045788010845
63,324584.0,-0.5886625799204283
64,329704.0,-1.6531455579213696
65,334824.0,-25.275505090851656
66,339944.0,-24.09809516261053
67,345064.0,-307.9259769651726
68,350184.0,-263.3663691754856
69,355304.0,-247.2554268739494
70,360424.0,-239.70900247159537
71,365544.0,-227.94846613016733
72,370664.0,-243.7809364224966
73,375784.0,-161.91304844088887
74,380904.0,-10.86590271789074
75,386024.0,-2.7918812611313126
76,391144.0,-1.1481464270731814
77,396264.0,-2.4901822961505826
78,401384.0,-2.7506996015960556
79,406504.0,-38.61088698457395
80,411624.0,-56.91482138991581
81,416744.0,-128.6077001147295
82,421864.0,-11.985961213119861
83,426984.0,-2.6118589287087817
84,432104.0,-5.050383852463354
85,437224.0,-2.0126344821769284
86,442344.0,-2.2189954234529137
87,447464.0,-6.269458089514513
88,452584.0,-5.95429265941525
89,457704.0,-1.905013471933539
90,462824.0,-2.661021287980327
91,467944.0,-91.72793688460823
92,473064.0,4.3766007730469365
93,478184.0,85.68921806176337
94,483304.0,16.707352774045336
95,488424.0,-80.30057036482106
96,493544.0,-95.54715407040162
97,498664.0,-86.15746190549169
98,503784.0,-65.44677883974617
99,508904.0,-39.69020399063581
100,514024.0,-44.189142235930795
101,519144.0,-53.370024715813614
102,524264.0,-75.03188198042393
103,529384.0,-48.921491155416454
104,534504.0,-52.77561474064917
105,539624.0,-65.03199866041442
106,544744.0,-9.107238419237202
107,549864.0,-30.08585889602256
108,554984.0,196.78425574182046
109,560104.0,71.98822213451164
110,565224.0,-61.77632985005585
111,570344.0,-51.285014980091056
112,575464.0,-26.689252548314016
113,580584.0,-10.666950364958085
114,585704.0,-20.05193992358721
115,590824.0,-14.710543730759575
116,595944.0,-19.87902476238408
117,601064.0,-21.360523518821736
118,606184.0,-21.144297884360743
119,611304.0,-14.834531871370217
120,616424.0,-107.13936740139567
121,621544.0,-1.8701635064568423
122,626664.0,-3.2076754767312554
123,631784.0,-2.8341648393307803
124,636904.0,-2.7836461798591268
125,642024.0,-2.408248744180219
126,647144.0,-2.83398639334116
127,652264.0,-2.3028003662317196
128,657384.0,-2.191346013605245
129,662504.0,-3.0155437914190757
130,667624.0,-2.6514058721638576
131,672744.0,-1.343091039834531
132,677864.0,-2.1110416959378644
133,682984.0,-2.2699236177791775
134,688104.0,-5.193941843015383
135,693224.0,-5.7246232218507815
136,698344.0,-4.503629649301843
137,703464.0,-7.142428355249723
138,708584.0,594.8931367950541
139,713704.0,-10.607264207261577
140,718824.0,-29.006007227946867
141,723944.0,575.0425906867061
142,729064.0,139.39203807641306
143,734184.0,164.2236321138089
144,739304.0,-32.47056731481866
145,744424.0,112.89469246623965
146,749544.0,-38.893495124971935
147,754664.0,30.75165079235103
148,759784.0,-57.647673884878486
149,764904.0,-89.51807492736634
150,770024.0,-96.77446921067275
151,775144.0,-91.81133621390207
152,780264.0,-71.55235991290658
153,785384.0,-40.012769562157494
154,790504.0,-32.896104845704485
155,795624.0,-20.032225470605287
156,800744.0,-3.0952147148047535
157,805864.0,-5.140346656724785
158,810984.0,-2.2102101513091132
159,816104.0,-2.526903029580142
160,821224.0,809.5493043141045
161,826344.0,-2.682658922715584
162,831464.0,-1.384514961492981
163,836584.0,-2.330480389365409
164,841704.0,-2.243103474021299
165,846824.0,-2.085857197794104
166,851944.0,-1.3118527530935227
167,857064.0,-2.525853673592523
168,862184.0,-1.6260194952213105
169,867304.0,-1.5820986372685264
170,872424.0,-1.5687665628817349
171,877544.0,-1.587321670874155
172,882664.0,-1.4359141842534253
173,887784.0,-1.4537461490070713
174,892904.0,-0.33378951123317646
175,898024.0,-1.5013640172208869
176,903144.0,-3.1279059437065886
177,908264.0,-5.482779870168305
178,913384.0,-3.791192829304957
179,918504.0,-1.1617393270513534
180,923624.0,-3.2713500808491505
181,928744.0,-2.4816306976024345
182,933864.0,-3.1821094951858098
183,938984.0,-1.2175417113630846
184,944104.0,-1.3414825341087135
185,949224.0,-1.7865898288799769
186,954344.0,-2.3906065496924374
187,959464.0,-1.112457196126599
188,964584.0,-2.306714739134984
189,969704.0,-2.2129174591969534
190,974824.0,-3.9916277646012506
191,979944.0,-2.221241830517428
192,985064.0,-2.1189666510597203
193,990184.0,-2.1375296625066684
194,995304.0,-2.2714798791500312
195,1000424.0,-1.8788792912311532
