Wall time,Step,Value
1693498746.9744081,20480,17.96240997314453
1693498833.494347,40960,218.4755859375
1693498918.7810423,61440,467.0630187988281
1693498986.8767908,81920,674.9580688476562
1693499046.1228406,102400,832.0731811523438
1693499105.2366264,122880,1151.609375
1693499165.07808,143360,1322.088623046875
1693499223.9741626,163840,1375.5357666015625
1693499288.8285952,184320,1362.5467529296875
1693499363.7282865,204800,1366.0205078125
1693499439.8316054,225280,1301.2783203125
1693499524.3725736,245760,1210.7354736328125
1693499610.6663277,266240,1159.9300537109375
1693499671.3348475,286720,1194.7996826171875
1693499743.4624903,307200,1259.4366455078125
1693499812.5079322,327680,1312.8546142578125
1693499885.3025675,348160,1416.61181640625
1693499952.0762515,368640,1524.337890625
1693500018.6950288,389120,1480.6883544921875
