Wall time,Step,Value
1693507910.1714327,20480,-14.080225944519043
1693507987.5760303,40960,102.93431091308594
1693508056.5000594,61440,186.84593200683594
1693508134.4230642,81920,324.1844787597656
1693508211.72565,102400,467.22491455078125
1693508282.095526,122880,719.8853759765625
1693508354.174546,143360,971.17578125
1693508425.8601296,163840,1211.7401123046875
1693508512.6332202,184320,1417.326416015625
1693508578.4083095,204800,1561.041748046875
1693508650.4661624,225280,1702.931884765625
1693508715.365338,245760,1799.9937744140625
1693508796.9750218,266240,1908.9891357421875
1693508868.017564,286720,2010.89697265625
1693508942.4103918,307200,2099.569580078125
1693509012.0120888,327680,2188.643310546875
1693509136.5861332,348160,2270.85888671875
1693509231.9738336,368640,2313.1640625
1693509295.0158541,389120,2378.873291015625
1693509382.0275075,409600,2446.4853515625
1693509476.2786124,430080,2496.9013671875
1693509573.1396744,450560,2573.202880859375
1693509652.2482543,471040,2610.633544921875
1693509712.3167064,491520,2633.09716796875
1693509788.7450075,512000,2657.623779296875
1693509884.770332,532480,2631.916015625
1693509994.680383,552960,2653.971923828125
1693510082.2136889,573440,2675.77978515625
1693510150.1383395,593920,2697.590576171875
1693510221.2600696,614400,2689.037109375
1693510288.1726923,634880,2761.511474609375
1693510371.2564678,655360,2793.361083984375
1693510438.2383456,675840,2854.874755859375
1693510511.216644,696320,2927.20849609375
1693510584.0011177,716800,3032.238525390625
1693510657.8656626,737280,3107.262451171875
1693510726.9593313,757760,3208.5546875
1693510795.6441307,778240,3228.042724609375
1693510850.9518492,798720,3248.40185546875
1693510911.0228071,819200,3323.885498046875
1693510970.9069402,839680,3301.0009765625
1693511030.603934,860160,3331.238525390625
1693511094.3973691,880640,3374.947509765625
1693511157.7465732,901120,3370.736083984375
1693511218.560764,921600,3324.10302734375
1693511280.954148,942080,3372.6103515625
1693511342.6446261,962560,3354.3291015625
1693511405.2028935,983040,3387.48681640625
