Wall time,Step,Value
1693490555.1345644,20480,0.5019928216934204
1693490596.372046,40960,34.30246353149414
1693490631.8612902,61440,165.35935974121094
1693490678.2276678,81920,341.32177734375
1693490739.2052484,102400,522.427001953125
1693490790.5497143,122880,800.7847900390625
1693490836.5619469,143360,1072.4229736328125
1693490880.7278867,163840,1301.3758544921875
1693490925.1455448,184320,1449.953857421875
1693490970.1741607,204800,1539.2178955078125
1693491014.4342024,225280,1550.3038330078125
1693491071.075339,245760,1633.6318359375
1693491127.639685,266240,1608.520263671875
1693491174.663983,286720,1609.4854736328125
1693491214.8913352,307200,1594.1209716796875
1693491277.9473774,327680,1570.4859619140625
1693491342.5523918,348160,1444.065185546875
1693491406.5778472,368640,1355.777099609375
1693491470.2934525,389120,1379.0377197265625
