Wall time,Step,Value
1693491867.3544078,20480,-28.855731964111328
1693491923.777979,40960,10.071654319763184
1693491980.1608155,61440,85.02729797363281
1693492035.696896,81920,133.1538543701172
1693492091.4397314,102400,205.3087615966797
1693492147.3194678,122880,343.15283203125
1693492202.4715602,143360,493.9601745605469
1693492257.7691529,163840,630.5565185546875
1693492313.7664828,184320,685.8872680664062
1693492370.787725,204800,767.13134765625
1693492428.064077,225280,851.3320922851562
1693492483.6807501,245760,919.3492431640625
1693492539.7097495,266240,1064.471435546875
1693492595.9218004,286720,1251.2286376953125
1693492651.7528126,307200,1405.2259521484375
1693492707.6811466,327680,1530.6273193359375
1693492763.195444,348160,1668.7523193359375
1693492833.8768992,368640,1740.84326171875
1693492896.9805532,389120,1826.27099609375
