Wall time,Step,Value
1693485897.102306,20480,80.4661865234375
1693485943.1387825,40960,353.344970703125
1693485986.2914915,61440,682.6964111328125
1693486031.5886607,81920,838.8748779296875
1693486080.0198362,102400,949.2191162109375
1693486123.867177,122880,1161.09375
1693486170.9931135,143360,1088.525146484375
1693486217.9828746,163840,976.8976440429688
1693486266.9084575,184320,858.8164672851562
1693486311.8352337,204800,867.633056640625
1693486359.6714242,225280,933.3613891601562
1693486409.9613583,245760,1125.2958984375
1693486454.4912064,266240,1265.7100830078125
1693486497.7802873,286720,1364.0919189453125
1693486545.2305167,307200,1405.3865966796875
1693486589.316799,327680,1406.7772216796875
1693486632.2728114,348160,1357.3194580078125
1693486685.1496317,368640,1203.4462890625
1693486732.6375856,389120,1096.02783203125
