Wall time,Step,Value
1693493086.309264,20480,21.65167808532715
1693493152.0523694,40960,253.44644165039062
1693493213.3497221,61440,509.7481994628906
1693493276.6612747,81920,710.5861206054688
1693493338.3568366,102400,918.9591064453125
1693493399.1356132,122880,1277.90673828125
1693493463.8944378,143360,1568.1680908203125
1693493528.3554614,163840,1736.6851806640625
1693493584.4501889,184320,1871.06982421875
1693493637.7028108,204800,1940.9818115234375
1693493690.8710694,225280,1881.193115234375
1693493749.3513105,245760,1908.68505859375
1693493802.4489589,266240,1925.09423828125
1693493856.661885,286720,1753.105712890625
1693493939.511102,307200,1706.1488037109375
1693494004.8231483,327680,1513.0665283203125
1693494068.653838,348160,1344.5579833984375
1693494133.5422342,368640,1190.5987548828125
1693494199.4325395,389120,1399.1146240234375
