Wall time,Step,Value
1693495787.9312968,20480,21.016061782836914
1693495843.070667,40960,246.873779296875
1693495898.2077594,61440,498.2224426269531
1693495954.5216892,81920,693.97265625
1693496011.155369,102400,892.657958984375
1693496070.1415021,122880,1246.576904296875
1693496127.0749643,143360,1527.182861328125
1693496182.2604764,163840,1674.0291748046875
1693496236.3477366,184320,1737.0740966796875
1693496291.4378712,204800,1796.3907470703125
1693496354.0338666,225280,1794.196044921875
1693496414.6099129,245760,1791.0086669921875
1693496479.6769915,266240,1818.9609375
1693496545.0733266,286720,1762.0994873046875
1693496611.112619,307200,1695.043212890625
1693496691.749127,327680,1638.4166259765625
1693496759.2913694,348160,1578.3153076171875
1693496832.1882854,368640,1567.4979248046875
1693496904.7850082,389120,1660.8289794921875
