Wall time,Step,Value
1693504816.3285875,20480,21.345937728881836
1693504884.7692702,40960,229.83416748046875
1693504956.6807208,61440,505.7095642089844
1693505021.6179729,81920,716.1564331054688
1693505080.627086,102400,887.5604858398438
1693505138.0011444,122880,1229.3931884765625
1693505201.9368358,143360,1446.804931640625
1693505263.5065107,163840,1492.4830322265625
1693505334.7671483,184320,1505.445068359375
1693505398.310213,204800,1365.090087890625
1693505455.891949,225280,1289.76318359375
1693505520.136271,245760,1269.90966796875
1693505590.8504899,266240,1321.4969482421875
1693505653.0582187,286720,1308.665283203125
1693505715.3775814,307200,1462.949462890625
1693505780.3798807,327680,1524.4034423828125
1693505861.1975489,348160,1583.756103515625
1693505938.108935,368640,1523.9693603515625
1693506013.523703,389120,1532.52587890625
